V1,V2
20_Q1292,
21_Q2597,11 X 8 - What is the answer to [Field-1]?
21_Q2598,11 X 8 - What is the answer to [Field-2]?
21_Q2599,11 X 8 - What is the answer to [Field-3]?
21_Q2600,11 X 8 - What is the answer to [Field-4]?
21_Q2601,11 X 8 - What is the answer to [Field-5]?
21_Q2602,11 X 8 - What is the answer to [Field-6]?
21_Q2603,11 X 8 - What is the answer to [Field-7]?
21_Q2604,11 X 8 - What is the answer to [Field-8]?
21_Q2605,11 X 8 - What is the answer to [Field-9]?
21_Q2606,11 X 8 - What is the answer to [Field-10]?
21_Q1292,
22_Q2597,3 X 10 - What is the answer to [Field-1]?
22_Q2598,3 X 10 - What is the answer to [Field-2]?
22_Q2599,3 X 10 - What is the answer to [Field-3]?
22_Q2600,3 X 10 - What is the answer to [Field-4]?
22_Q2601,3 X 10 - What is the answer to [Field-5]?
22_Q2602,3 X 10 - What is the answer to [Field-6]?
22_Q2603,3 X 10 - What is the answer to [Field-7]?
22_Q2604,3 X 10 - What is the answer to [Field-8]?
22_Q2605,3 X 10 - What is the answer to [Field-9]?
22_Q2606,3 X 10 - What is the answer to [Field-10]?
22_Q1292,
23_Q2597,9 X 4 - What is the answer to [Field-1]?
23_Q2598,9 X 4 - What is the answer to [Field-2]?
23_Q2599,9 X 4 - What is the answer to [Field-3]?
23_Q2600,9 X 4 - What is the answer to [Field-4]?
23_Q2601,9 X 4 - What is the answer to [Field-5]?
23_Q2602,9 X 4 - What is the answer to [Field-6]?
23_Q2603,9 X 4 - What is the answer to [Field-7]?
23_Q2604,9 X 4 - What is the answer to [Field-8]?
23_Q2605,9 X 4 - What is the answer to [Field-9]?
23_Q2606,9 X 4 - What is the answer to [Field-10]?
23_Q1292,
24_Q2597,2 X 8 - What is the answer to [Field-1]?
24_Q2598,2 X 8 - What is the answer to [Field-2]?
24_Q2599,2 X 8 - What is the answer to [Field-3]?
24_Q2600,2 X 8 - What is the answer to [Field-4]?
24_Q2601,2 X 8 - What is the answer to [Field-5]?
24_Q2602,2 X 8 - What is the answer to [Field-6]?
24_Q2603,2 X 8 - What is the answer to [Field-7]?
24_Q2604,2 X 8 - What is the answer to [Field-8]?
24_Q2605,2 X 8 - What is the answer to [Field-9]?
24_Q2606,2 X 8 - What is the answer to [Field-10]?
24_Q1292,
25_Q2597,6 X 4 - What is the answer to [Field-1]?
25_Q2598,6 X 4 - What is the answer to [Field-2]?
25_Q2599,6 X 4 - What is the answer to [Field-3]?
25_Q2600,6 X 4 - What is the answer to [Field-4]?
25_Q2601,6 X 4 - What is the answer to [Field-5]?
25_Q2602,6 X 4 - What is the answer to [Field-6]?
25_Q2603,6 X 4 - What is the answer to [Field-7]?
25_Q2604,6 X 4 - What is the answer to [Field-8]?
25_Q2605,6 X 4 - What is the answer to [Field-9]?
25_Q2606,6 X 4 - What is the answer to [Field-10]?
25_Q1292,
26_Q2597,4 X 4 - What is the answer to [Field-1]?
26_Q2598,4 X 4 - What is the answer to [Field-2]?
26_Q2599,4 X 4 - What is the answer to [Field-3]?
26_Q2600,4 X 4 - What is the answer to [Field-4]?
26_Q2601,4 X 4 - What is the answer to [Field-5]?
26_Q2602,4 X 4 - What is the answer to [Field-6]?
26_Q2603,4 X 4 - What is the answer to [Field-7]?
26_Q2604,4 X 4 - What is the answer to [Field-8]?
26_Q2605,4 X 4 - What is the answer to [Field-9]?
26_Q2606,4 X 4 - What is the answer to [Field-10]?
26_Q1292,
del100_First Click,Timing - First Click
del100_Last Click,Timing - Last Click
del100_Page Submit,Timing - Page Submit
del100_Click Count,Timing - Click Count
comp_check_pr1,How much would you earn if you complete 120 problems under the Piece Rate payment scheme (with $.10 for every problem solved correctly)?
comp_check_pr2,How much would you earn if you complete 140 problems under the Piece Rate payment scheme (with $.10 for every problem solved correctly)?
comp_check_comp1,How much would you earn if you complete 120 problems under the Tournament payment scheme and your opponent completes 100 problems (with $.20 for every problem solved correctly if you beat your opponent)?
comp_check_comp2,How much would you earn if you complete 140 problems under the Tournament payment scheme and your opponent completes 120 problems (with $.20 for every problem solved correctly if you beat your opponent)?
comp_check_comp3,How much would you earn if you complete 100 problems under the Tournament payment scheme and your opponent completes 120 problems (with $.20 for every problem solved correctly if you beat your opponent)?
comp_check_comp4,How much would you earn if you complete 120 problems under the Tournament payment scheme and your opponent completes 140 problems (with $.20 for every problem solved correctly if you beat your opponent)?
comp_choice,
Q257_First Click,Timing - First Click
Q257_Last Click,Timing - Last Click
Q257_Page Submit,Timing - Page Submit
Q257_Click Count,Timing - Click Count
Q261,10 x 8
Q263,Please enter your answers to the addition problems below as quickly as you can. 10 + 8
Q265,1 x 10
Q267,3 x 3
Q269,1 x 9
Q271,1 x 4
Q273,12 x 6
Q275,3 x 3
Q277,3 x 12
Q279,4 x 5
Q281,11 x 6
Q283,9 x 2
Q285,10 x 3
Q287,11 x 5
Q289,10 x 9
Q291,7 x 2
Q293,6 x 5
Q295,6 x 2
Q297,8 x 4
Q299,2 x 6
Q301,6 x 8
Q303,3 x 4
Q305,1 x 7
Q307,5 x 11
Q309,3 x 5
Q311,5 x 9
Q313,11 x 2
Q315,5 x 4
Q317,3 x 2
Q319,6 x 1
Q321,11 x 8
Q323,3 x 11
Q325,2 x 11
Q327,7 x 11
Q329,7 x 2
Q331,12 x 8
Q333,11 x 8
Q335,1 x 7
Q337,2 x 7
Q339,7 x 6
Q341,1 x 10
Q343,6 x 11
Q345,1 x 1
Q347,11 x 3
Q349,3 x 2
Q351...667,8 x 5
Q353...668,7 x 5
Q355...669,8 x 4
Q357...670,2 x 12
Q359...671,6 x 7
Q361...672,4 x 3
Q363...673,2 x 11
Q365...674,4 x 7
Q367...675,1 x 9
Q369...676,3 x 2
Q371,8 x 9
Q373,1 x 7
Q375,6 x 4
Q377,4 x 11
Q379,11 x 9
Q381,11 x 1
Q383,1 x 1
Q385,11 x 7
Q387,1 x 9
Q389,1 x 4
Q391,12 x 9
Q393,8 x 1
Q395,5 x 3
Q397,3 x 3
Q399,6 x 5
Q401,9 x 12
Q403,10 x 6
Q405,6 x 8
Q407,3 x 10
Q409,6 x 8
Q411,11 x 3
Q413,8 x 4
Q415...699,3 x 12
Q417...700,9 x 2
Q419...701,2 x 5
Q351...702,3 x 10
Q352,2 x 7
Q353...704,6 x 5
Q354,11 x 1
Q355...706,5 x 10
Q356,8 x 12
Q357...708,2 x 4
Q358,1 x 3
Q359...710,10 x 10
Q360,7 x 12
Q361...712,11 x 9
Q362,5 x 12
Q363...714,10 x 10
Q364,11 x 9
Q365...716,2 x 8
Q366,10 x 1
Q367...718,10 x 11
Q368,10 x 8
Q370,11 x 2
Q369...721,6 x 7
Q415...722,12 x 6
Q416,11 x 12
Q417...724,10 x 11
Q418,8 x 2
Q419...726,7 x 5
Q420,12 x 8
Q421,10 x 5
Q422,2 x 3
Q423,6 x 1
Q424,8 x 6
Q425,12 x 4
Q426,8 x 1
Q427,11 x 1
Q428,8 x 8
Q429,6 x 4
Q430,1 x 5
Q431,2 x 2
Q432,2 x 2
Q433,5 x 12
Q434,3 x 12
Q504,6 x 7
Q505,3 x 2
Q506,12 x 12
Q507,3 x 6
Q508,2 x 7
Q509,12 x 5
Q510,10 x 12
Q511,7 x 6
Q512,11 x 1
Q513,7 x 11
Q514,3 x 7
Q515,2 x 5
Q516,2 x 8
Q517,7 x 9
Q518,8 x 5
Q519,3 x 9
Q520,10 x 11
Q521,11 x 3
Q522,2 x 12
Q523,2 x 12
Q524,4 x 10
Q525,6 x 1
Q526,11 x 9
Q527,5 x 9
Q528,4 x 7
Q529,6 x 5
Q530,1 x 5
Q531,4 x 6
Q532,2 x 3
Q533,1 x 12
Q534,7 x 7
Q535,1 x 11
Q536,2 x 5
Q537,7 x 12
Q538,11 x 4
Q539,8 x 8
Q540,4 x 8
Q541,11 x 12
Q542,6 x 6
Q543,4 x 10
conf_rank,"Your task score was [Field-taskscore]. If my performance is compared to that of all participants that completed the task, I think my score will be..."
perc_task_gender_pract,Do you think men or women in this study spent more time practicing/studying before completing the multiplication task?
better_gender_guess,Do you think men or women in this study correctly solved more multiplication problems on average?
perc_gender_comp,Do you think men or women in this study chose the tournament payment option more often?
MC,"Some participants in this study were randomly assigned to complete subtraction problems before the paid multiplication task, while other participants were randomly assigned to complete multiplication problems before the paid multiplication task (see below for example questions). Which task do you think was more helpful in boosting participants' scores on the paid multiplication task?"
risk,How do you see yourself: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?
perc_gen_gender_pract,"On most tasks, do you think men or women generally prepare (i.e., practice and/or study) more?"
age,What is your age (in years)?
education,"What is the highest degree or level of school you have completed? If currently enrolled, indicate highest degree completed."
unclear,"We value hearing from the communities we research and we take concerns from participants very seriously, please let us know if there was anything on this survey you would like to provide feedback on."
SC0,Score
EndLoop,EndLoop
id,id
workerId,workerId
assignmentId,assignmentId
hitId,hitId
Gender...798,Gender
condition,Condition
hideButtons,hideButtons
task_score,taskscore
task_comp_check_acc,
pay_comp_check_acc,
n_comp_wrong,
study_tables_binary,Would you like to study the multiplication times table before you complete the paid multiplication task?
practice_problems_binary,Would you like to practice problems from the multiplication times table  before you complete  the paid multiplication task?
extra_practice_rounds_count,
practice_nonempty,
fraud,
