"gender","gender_other","residence","residence_other","nationality","nationality_other","task_comp_check1","task_comp_check2","task_comp_check3","comp_check_pr1","comp_check_pr1_do","comp_check_pr2","comp_check_pr2_do","comp_check_comp1","comp_check_comp1_do","comp_check_comp2","comp_check_comp2_do","comp_check_comp3","comp_check_comp3_do","comp_check_comp4","comp_check_comp4_do","comp_choice","pract_choice","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp","risk","calc1","calc2","calc3","calc4","calc5","perc_gen_gender_pract","age","race_ethnicity","race_ethnicity_other","income","education","unclear","Gender...2646","condition","task_score","comp_choice_do","pract_count1","pract_count2","pract_count3","pract_count4","pract_count5","pract_count6","pract_count7","pract_count8","pract_count9","pract_count10","pract_count11","pract_count12","practice_nonempty","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","total_review_count","practice_choice_numeric","id"
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$0|$12",NA,NA,"$24","$24|$2|$.25|$0",NA,NA,"$0","$2|$.25|$0|$24",NA,NA,"piecerate","No",50,"Men","Women","Men",7,"Slower","No","No","Slower","Men","Women",25,"White/Caucasian",NA,"$50,000 to $60,000","Graduate Degree",NA,0,"pract",59,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$.25|$1.20|$0","$14","$.25|$1.40|$14|$0","$24","$24|$.25|$2|$0",NA,NA,"$0","$2|$24|$0|$.25",NA,NA,"piecerate","No",80,"Women","Women","Men",1,"Slower","No","No","Slower","Men","Women",58,"White/Caucasian",NA,"$50,000 to $60,000","Bachelor's Degree",NA,1,"pract",66,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,241
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$1.20|$12",NA,NA,"$24","$2|$.25|$24|$0",NA,NA,"$0","$24|$2|$0|$.25",NA,NA,"piecerate","No",50,"Men","Men","Men",4,"Slower","No","No","Slower","Women","Men",24,"White/Caucasian",NA,"$50,000 to $60,000","Some College",NA,0,"pract",39,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$0|$.25|$1.20","$14","$1.40|$14|$0|$.25","$2","$0|$24|$2|$.25","$28","$0|$28|$.25|$2","$24","$2|$24|$0|$.25","$0","$.25|$28|$2|$0","piecerate","No",80,"Women","Women","Men",1,"Slower","No","Yes","Slower","Women","Women",23,"White/Caucasian",NA,"$40,000 to $50,000","Bachelor's Degree",NA,1,"control",65,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,243
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$.25|$0|$12",NA,NA,"$24","$24|$2|$0|$.25",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate","No",60,"Women","Women","Men",3,"Slower","No","No","Slower",NA,"Women",29,"White/Caucasian",NA,"$70,000 to $80,000","Some College",NA,0,"control",71,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$0|$1.20|$.25","$14","$1.40|$0|$.25|$14","$24","$24|$.25|$2|$0",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","Yes",80,"Men","Women","Men",6,"Slower","No","No","Slower","Men","Women",29,"White/Caucasian",NA,"$100,000 to $200,00","Bachelor's Degree","No",0,"pract",96,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,245
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$0|$1.20",NA,NA,"$24","$.25|$2|$24|$0",NA,NA,"$0","$0|$2|$24|$.25",NA,NA,"piecerate","Yes",50,"Men","Women","Men",4,"Slower","No","No","Slower","Women","Women",28,"White/Caucasian",NA,"$50,000 to $60,000","Bachelor's Degree","No.",1,"control",70,"pr_first",1,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,3,1,246
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$1.20|$.25|$0",NA,NA,"$24","$24|$.25|$2|$0",NA,NA,"$0","$.25|$24|$2|$0",NA,NA,"piecerate","No",40,"Women","Women","Men",4,"Slower","No","Yes","Slower","Men","Women",37,"White/Caucasian",NA,"$20,000 to $30,000","Some College","no",1,"control",53,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$0|$1.20",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$24|$.25|$2|$0",NA,NA,"piecerate","Yes",30,"Women","Women","Women",6,"Slower","No","No","Slower","Men","Women",22,"Black/African-American",NA,"$20,000 to $30,000","Some College",NA,1,"control",58,"tournament_first",0,1,1,1,1,1,1,1,1,0,0,1,108,0,0,0,10,1,248
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$12|$0|$1.20","$14","$.25|$0|$1.40|$14","$24","$24|$.25|$0|$2",NA,NA,"$24","$0|$2|$.25|$24","$0","$0|$.25|$2|$28","tournament","Yes",0,"Women","Women","Women",0,"Faster","No","Yes","Faster","Men","Women",60,"White/Caucasian",NA,"Less than $10,000","High School Diploma","no",1,"control",34,"tournament_first",2,1,1,1,1,1,1,1,1,1,1,1,144,0,2,2,14,1,249
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$0|$12|$1.20","$14","$.25|$1.40|$0|$14","$24","$.25|$0|$2|$24",NA,NA,"$0","$24|$.25|$2|$0",NA,NA,"piecerate","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"control",NA,"tournament_first",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,250
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$0|$1.20|$.25","$14","$.25|$1.40|$0|$14","$24","$.25|$2|$0|$24",NA,NA,"$0","$24|$0|$.25|$2",NA,NA,"piecerate","No",50,"Men","Women","Men",4,"Slower","No","Yes","Slower","Women","Women",25,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree","bonus structure was a little confusing",1,"pract",70,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,251
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$1.20|$0|$.25","$14","$14|$.25|$0|$1.40","$24","$2|$24|$.25|$0",NA,NA,"$0","$0|$.25|$2|$24",NA,NA,"piecerate","Yes",80,"Men","Women","Men",3,"Slower","No","No","Slower","Men","Women",22,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree",NA,0,"control",64,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,252
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$0|$.25|$24|$2",NA,NA,"$0","$.25|$24|$0|$2",NA,NA,"piecerate","No",20,"Women","Women","Men",9,"Slower","No","No","Slower","Men","Women",54,"Black/African-American",NA,"$60,000 to $70,000","Bachelor's Degree","no",1,"pract",25,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$.25|$0|$24|$2",NA,NA,"$0","$24|$2|$0|$.25",NA,NA,"piecerate","Yes",30,"Women","Women","Men",6,"Slower","No","Yes","Slower","Women","Women",38,"White/Caucasian",NA,"$90,000 to $100,000","Bachelor's Degree","No",1,"control",65,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,254
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$0|$12|$1.20","$14","$1.40|$.25|$14|$0","$24","$0|$.25|$24|$2",NA,NA,"$0","$24|$.25|$0|$2",NA,NA,"piecerate","Yes",50,"Women","Women","Women",6,"Slower","No","No","Slower","Women","Women",64,"White/Caucasian",NA,"$100,000 to $200,00","Bachelor's Degree",NA,1,"pract",44,"pr_first",0,0,0,0,0,1,1,0,0,0,0,0,24,0,1,1,3,1,255
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$1.20|$12",NA,NA,"$24","$2|$.25|$0|$24",NA,NA,"$0","$2|$0|$.25|$24",NA,NA,"piecerate","Yes",50,"Men","Women","Men",2,"Slower","No","Yes","Slower","Women","Women",37,"White/Caucasian",NA,"$20,000 to $30,000","High School Diploma","N/A",0,"pract",40,"tournament_first",0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2,1,256
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"pract",37,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$1.20|$.25",NA,NA,"$24","$0|$.25|$2|$24",NA,NA,"$0","$24|$.25|$0|$2",NA,NA,"piecerate","No",70,"Men","Men","Men",2,"Slower","No","Yes","Faster","Men","Men",21,"East Asian",NA,"$60,000 to $70,000","Bachelor's Degree",NA,0,"control",49,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$1.20|$0",NA,NA,"$24","$2|$.25|$24|$0",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","No",80,"Men","Men","Men",5,"Slower","No","No","Faster","Women","Men",47,"White/Caucasian",NA,"$60,000 to $70,000","Graduate Degree","no",0,"pract",71,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$12|$1.20|$.25",NA,NA,"$24","$2|$24|$.25|$0",NA,NA,"$0","$24|$0|$.25|$2",NA,NA,"piecerate","No",40,"Women","Women","Men",4,"Slower","No","No","Slower","Men","Women",67,"White/Caucasian",NA,"$60,000 to $70,000","Graduate Degree",NA,1,"pract",22,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$0|$12",NA,NA,"$2","$0|$.25|$2|$24","$28","$28|$2|$.25|$0","$0","$0|$.25|$2|$24",NA,NA,"piecerate","Yes",70,"Women","Women","Men",4,"Slower","No","Yes","Slower","Men","Women",40,"Hispanic/Latino",NA,"$30,000 to $40,000","Some College",NA,1,"control",60,"tournament_first",0,0,0,0,0,1,0,0,0,0,0,0,12,0,1,1,2,1,261
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$1.20|$12",NA,NA,"$24","$24|$.25|$0|$2",NA,NA,"$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",80,"Men","Men","Men",1,"Slower","No","Yes","Slower","Men","Women",33,"White/Caucasian",NA,"$80,000 to $90,000","Bachelor's Degree",NA,1,"pract",46,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$12|$1.20",NA,NA,"$24","$2|$0|$.25|$24",NA,NA,"$0","$24|$.25|$0|$2",NA,NA,"piecerate","No",80,"Women","Women","Men",9,"Slower","No","No","Slower","Men","Women",54,"White/Caucasian",NA,"$50,000 to $60,000","Some College","no",0,"pract",52,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$0|$1.20|$12|$.25","$14","$0|$14|$1.40|$.25","$0","$2|$.25|$24|$0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"pract",NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,264
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$0|$.25|$1.20|$12","$14","$0|$.25|$1.40|$14","$24","$2|$0|$.25|$24",NA,NA,"$0","$.25|$24|$2|$0",NA,NA,"piecerate","No",40,"Men","Men","Men",5,"Slower","Yes","Yes","Faster","Women","Men",18,"White/Caucasian",NA,"Less than $10,000","Some College",NA,1,"control",47,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,265
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$.25|$1.20",NA,NA,"$0","$.25|$2|$0|$24","$28","$28|$.25|$2|$0","$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",50,"Women","Men","Men",6,"Slower","Yes","Yes","Slower","Women","Women",29,"White/Caucasian",NA,"Less than $10,000","Some College",NA,1,"pract",24,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,266
"Man",NA,"United States",NA,"American",NA,"42","2",NA,"$12","$1.20|$.25|$0|$12",NA,NA,"$24","$0|$.25|$24|$2",NA,NA,"$0","$2|$24|$.25|$0",NA,NA,"tournament","No",40,"Women","Women","Men",6,"Faster","No","Yes","Faster","Men","Women",23,"Hispanic/Latino",NA,"$10,000 to $20,000","Some College","everything clear",0,"control",39,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,267
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$12|$.25|$0",NA,NA,"$24","$.25|$0|$2|$24",NA,NA,"$0","$.25|$0|$2|$24",NA,NA,"tournament","Yes",30,"Men","Women","Men",6,"Slower","No","Yes","Slower","Men","Women",24,"White/Caucasian",NA,"Less than $10,000","High School Diploma",NA,1,"control",52,"tournament_first",0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,2,1,268
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$0.25","$0|$.25|$1.20|$12","$14","$0|$1.40|$14|$.25","$0.25","$0|$24|$.25|$2","$28","$.25|$2|$0|$28","$0.25","$2|$24|$.25|$0","$0","$28|$0|$2|$.25","piecerate","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"control",NA,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,269
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$.25|$1.20",NA,NA,"$24","$2|$.25|$0|$24",NA,NA,"$0","$.25|$2|$24|$0",NA,NA,"piecerate","No",50,"Women","Women","Men",2,"Slower","No","Yes","Slower","Men","Women",32,"East Asian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,0,"control",74,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$12|$1.20",NA,NA,"$2","$0|$24|$2|$.25","$28","$0|$28|$2|$.25","$0","$.25|$0|$24|$2",NA,NA,"tournament","Yes",0,"Women","Women","Men",7,"Slower","No","Yes","Slower","Men","Women",23,"Hispanic/Latino",NA,"$10,000 to $20,000","Some College",NA,1,"pract",70,"tournament_first",0,0,0,1,0,0,1,1,0,0,0,1,48,0,1,1,5,1,271
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$1.20|$.25",NA,NA,"$24","$0|$.25|$2|$24",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate","Yes",0,"Women","Men","Women",3,"Faster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"control",28,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,272
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$0|$1.20",NA,NA,"$24","$0|$2|$24|$.25",NA,NA,"$0","$.25|$0|$2|$24",NA,NA,"piecerate","No",70,"Women","Women","Men",6,"Slower","No","No","Slower","Men","Women",36,"White/Caucasian",NA,"Less than $10,000","Some College","no",1,"pract",52,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$.25|$0|$12",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$0|$24|$.25|$2",NA,NA,"piecerate","No",60,"Men","Men","Men",2,"Slower","No","Yes","Slower","Men","Men",32,"White/Caucasian",NA,"$30,000 to $40,000","High School Diploma","No, very clear instructions.",1,"control",34,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$.25|$12|$0",NA,NA,"$24","$0|$24|$2|$.25",NA,NA,"$0","$.25|$24|$0|$2",NA,NA,"piecerate","No",70,"Men","Women","Men",5,"Slower","No","Yes","Faster","Men","Women",18,"White/Caucasian",NA,"$80,000 to $90,000","Some College",NA,0,"pract",48,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$12|$0|$.25",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",80,"Men","Women","Men",5,"Slower","No","Yes","Faster","Women","Women",46,"White/Caucasian",NA,"Less than $10,000","Some College",NA,0,"pract",49,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$12|$0|$1.20","$14","$0|$14|$.25|$1.40","$24","$0|$.25|$24|$2",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate","Yes",80,"Women","Women","Men",3,"Slower","No","Yes","Slower","Men","Women",36,"White/Caucasian",NA,"$100,000 to $200,00","Graduate Degree",NA,0,"control",87,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,1,2,1,277
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$1.20|$0|$.25","$14","$.25|$14|$1.40|$0","$24","$.25|$2|$24|$0",NA,NA,"$24","$0|$.25|$24|$2","$0","$28|$.25|$2|$0","piecerate","Yes",20,"Women","Women","Men",5,"Faster","No","No","Faster","Women","Men",26,"Black/African-American",NA,"$30,000 to $40,000","Some College","No.",1,"pract",12,"pr_first",0,0,0,1,0,0,1,0,0,0,0,0,24,0,2,2,3,1,278
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"pract",NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,279
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$1.20|$12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"control",NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,280
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$.25|$2|$24|$0",NA,NA,"$0","$2|$24|$.25|$0",NA,NA,"piecerate","No",20,"Women","Women","Men",0,"Faster","No","Yes","Faster","Men","Women",31,"White/Caucasian",NA,"Less than $10,000","Bachelor's Degree",NA,1,"control",69,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$1.20|$.25",NA,NA,"$24","$24|$2|$0|$.25",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate","Yes",40,"Men","Women","Men",3,"Slower","No","No","Slower","Men","Women",48,"White/Caucasian",NA,"Less than $10,000","Some College",NA,0,"control",34,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,282
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$.25|$0|$12",NA,NA,"$24","$.25|$24|$0|$2",NA,NA,"$0","$.25|$2|$24|$0",NA,NA,"piecerate","No",50,"Women","Men","Men",1,"Slower","No","No","Slower","Men","Women",51,"White/Caucasian",NA,"$10,000 to $20,000","Vocational Training","no",0,"control",43,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$1.20|$0",NA,NA,"$24","$0|$2|$.25|$24",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","Yes",10,"Men","Women","Men",0,"Slower","Yes","Yes","Slower","Women","Women",31,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree",NA,1,"control",24,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,284
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"tournament","Yes",30,"Men","Women","Men",7,"Slower","No","No","Slower","Women","Women",31,"White/Caucasian",NA,"$100,000 to $200,00","High School Diploma","No",1,"pract",58,"tournament_first",0,0,0,0,0,1,1,0,0,0,0,2,48,0,0,0,5,1,285
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$24|$0|$2|$.25",NA,NA,"$24","$.25|$24|$2|$0","$0","$.25|$2|$28|$0","piecerate","Yes",100,"Men","Women","Men",10,"Slower","No","No","Faster","Women","Men",40,"White/Caucasian",NA,"$40,000 to $50,000","Graduate Degree",NA,0,"pract",29,"pr_first",1,1,0,0,0,0,0,0,0,0,0,0,24,0,1,1,3,1,286
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$1.20|$.25",NA,NA,"$24","$24|$0|$2|$.25",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","No",90,"Men","Women","Men",6,"Slower","No","Yes","Slower","Women","Women",26,"East Asian",NA,"$50,000 to $60,000","Bachelor's Degree",NA,0,"pract",111,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$1.20|$12",NA,NA,"$24","$.25|$2|$0|$24",NA,NA,"$0","$.25|$24|$2|$0",NA,NA,"piecerate","Yes",90,"Women","Women","Men",4,"Slower","No","Yes","Slower","Men","Women",46,"White/Caucasian",NA,"$10,000 to $20,000","Some College",NA,0,"pract",60,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,288
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$.25|$0|$2|$24",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate","No",20,"Women","Men","Men",1,"Slower","No","No","Slower","Men","Women",58,"White/Caucasian",NA,"$10,000 to $20,000","Bachelor's Degree","no",0,"control",28,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$12|$.25",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0.25","$2|$24|$.25|$0","$0","$2|$28|$0|$.25","piecerate","Yes",40,"Men","Men","Men",9,"Slower","No","No","Faster","Women","Men",23,"White/Caucasian",NA,"$50,000 to $60,000","Some College","no",0,"control",46,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,290
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$0|$12|$1.20","$14","$0|$14|$1.40|$.25","$24","$24|$0|$.25|$2",NA,NA,"$0","$0|$.25|$2|$24",NA,NA,"piecerate","Yes",70,"Women","Women","Men",10,"Slower","No","Yes","Slower","Women","Women",42,"White/Caucasian",NA,"$70,000 to $80,000","Vocational Training",NA,1,"pract",38,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,291
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$0|$.25|$1.20|$12","$14","$14|$1.40|$.25|$0","$24","$0|$24|$.25|$2",NA,NA,"$0","$0|$24|$.25|$2",NA,NA,"piecerate","Yes",40,"Men","Women","Men",3,"Slower","Yes","Yes","Slower","Women","Women",39,"White/Caucasian",NA,"Less than $10,000","Some College","no",1,"control",46,"pr_first",0,0,1,0,0,0,0,0,0,0,0,0,12,0,1,1,2,1,292
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$1.20|$12|$0|$.25","$14","$0|$14|$.25|$1.40","$24","$.25|$0|$2|$24",NA,NA,"$24","$.25|$0|$2|$24","$0","$2|$.25|$0|$28","piecerate","Yes",40,"Women","Women","Men",3,"Slower","No","Yes","Slower","Men","Women",23,"Black/African-American",NA,"$20,000 to $30,000","Bachelor's Degree","nope",1,"control",37,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,293
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$0","$0|$.25|$1.20|$12","$14","$1.40|$0|$.25|$14","$24","$24|$.25|$2|$0",NA,NA,"$24","$0|$.25|$24|$2","$0","$28|$2|$0|$.25","tournament","Yes",40,"Women","Men","Women",10,"Slower","No","No","Faster","Women","Women",29,"White/Caucasian",NA,"Less than $10,000","Vocational Training","n/a",1,"pract",13,"tournament_first",2,1,1,1,1,0,0,0,0,1,0,0,72,0,2,2,8,1,294
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$12|$0|$1.20","$14","$14|$0|$.25|$1.40","$24","$2|$24|$.25|$0",NA,NA,"$24","$24|$0|$.25|$2","$0","$0|$2|$28|$.25","piecerate","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"pract",NA,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,295
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$12|$.25|$0",NA,NA,"$24","$0|$24|$2|$.25",NA,NA,"$0","$2|$0|$24|$.25",NA,NA,"piecerate","Yes",50,"Men","Women","Men",2,"Slower","No","Yes","Faster","Men","Women",63,"White/Caucasian",NA,"$40,000 to $50,000","Bachelor's Degree","no, it was crystal clear",0,"pract",38,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,296
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$0|$12",NA,NA,"$24","$24|$2|$.25|$0",NA,NA,"$0","$2|$.25|$24|$0",NA,NA,"piecerate","No",60,"Men","Women","Men",5,"Slower","No","No","Slower","Women","Women",61,"White/Caucasian",NA,"$100,000 to $200,00","Bachelor's Degree",NA,1,"pract",30,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297
